BOTTLE,20240810CCHHYDRO
320620180309  ,S04P       ,901     ,  1,19         ,19         ,2,20180314,0025, -59.6166, 159.1548,     4796,    591.4,2.3150777777777773458,34.655386973963054,3,     -999,5,177.18155512321030,2, 167.4946,2,    176.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.3146,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.056,1,    4.683,1,    0.070,1,     -999,9,     -999,9,20180314,0113, -59.6174, 159.1539,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,18         ,18         ,2,20180314,0025, -59.6166, 159.1548,     4796,    642.0,2.2838861111111108393,34.670407206959567,3,     -999,5,178.31036152773490,2, 168.2952,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.2835,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    4.684,1,    0.071,1,     -999,9,     -999,9,20180314,0111, -59.6174, 159.1539,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,17         ,17         ,2,20180314,0025, -59.6166, 159.1548,     4796,    688.6,2.2350555555555557952,34.676727214617095,3,     -999,5,179.41061657905001,2, 168.9943,2,    178.1,2,     -999,9,     -999,9,     -999,9,     -999,9,    0.367,4,    0.192,4,   0.0500,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.2346,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.056,1,    4.603,1,    0.071,1,  21.9200,4,     -999,9,20180314,0108, -59.6173, 159.1537,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,16         ,16         ,2,20180314,0025, -59.6166, 159.1548,     4796,    742.9,2.2464944444444441274,34.692485220087619,3,     -999,5,180.49603315725435,2, 170.5904,2,    180.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.2463,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    4.684,1,    0.071,1,     -999,9,     -999,9,20180314,0106, -59.6173, 159.1540,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,15         ,15         ,2,20180314,0025, -59.6166, 159.1548,     4796,    794.1,2.1734249999999999403,34.697080907110710,3,     -999,5,181.75843592566059,2, 171.1915,2,    181.2,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.1737,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.056,1,    4.684,1,    0.071,1,     -999,9,     -999,9,20180314,0104, -59.6172, 159.1538,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,14         ,14         ,2,20180314,0025, -59.6166, 159.1548,     4796,    842.7,2.1369166666666665755,34.705202946952717,3,     -999,5,182.49620217454682,2, 171.1914,2,    184.0,2,     -999,9,     -999,9,     -999,9,     -999,9,    0.296,4,    0.158,4,   0.1300,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.1368,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    4.686,1,    0.071,1,  20.9800,4,     -999,9,20180314,0101, -59.6171, 159.1541,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,13         ,13         ,2,20180314,0025, -59.6166, 159.1548,     4796,    895.0,2.1381833333333335467,34.716476554196852,3,     -999,5,184.52367602329463,2, 174.1937,2,    184.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.1378,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.057,1,    4.653,1,    0.071,1,     -999,9,     -999,9,20180314,0059, -59.6171, 159.1542,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,12         ,12         ,2,20180314,0025, -59.6166, 159.1548,     4796,    945.3,2.0858666666666669798,34.722748806191717,3,     -999,5,185.79470223968855,2, 174.8923,2,    186.2,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.0854,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.057,1,    4.684,1,    0.071,1,     -999,9,     -999,9,20180314,0056, -59.6171, 159.1545,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,11         ,11         ,2,20180314,0025, -59.6166, 159.1548,     4796,    996.1,2.0505805555555554065,34.730098956952205,3,     -999,5,187.56266106089927,2, 176.6938,2,    188.0,2,     -999,9,     -999,9,     -999,9,     -999,9,    0.190,4,    0.132,4,   0.0100,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.0502,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.057,1,    2.400,1,    0.070,1,  19.9700,4,     -999,9,20180314,0053, -59.6170, 159.1545,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,10         ,10         ,2,20180314,0025, -59.6166, 159.1548,     4796,   1045.8,2.0051555555555555799,34.734104898262203,3,     -999,5,189.10352444504701,2, 177.7916,2,    189.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   2.0048,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.057,1,    0.039,1,    0.070,1,     -999,9,     -999,9,20180314,0049, -59.6169, 159.1545,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,9          ,9          ,2,20180314,0025, -59.6166, 159.1548,     4796,   1097.5,1.9644500000000002515,34.736894038263365,3,     -999,5,190.55531805341221,2, 178.9904,2,    190.6,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.9640,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.057,1,    4.685,1,    0.071,1,     -999,9,     -999,9,20180314,0046, -59.6168, 159.1546,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,8          ,8          ,2,20180314,0025, -59.6166, 159.1548,     4796,   1147.9,1.9345888888888893575,34.738373086214125,3,     -999,5,191.41170421116723,2, 179.5929,2,    191.8,2,     -999,9,     -999,9,     -999,9,     -999,9,    0.167,4,    0.094,4,   0.0500,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.9342,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.056,1,    4.677,1,    0.071,1,  19.7800,4,     -999,9,20180314,0043, -59.6168, 159.1547,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,7          ,7          ,2,20180314,0025, -59.6166, 159.1548,     4796,   1200.2,1.8960722222222219369,34.740167853884529,3,     -999,5,192.64294288824092,2, 180.3967,2,    192.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.8958,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.055,1,    0.037,1,    0.070,1,     -999,9,     -999,9,20180314,0040, -59.6167, 159.1549,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,6          ,6          ,2,20180314,0025, -59.6166, 159.1548,     4796,   1248.7,1.8570444444444444976,34.741158698994518,3,     -999,5,193.74068352753841,2, 180.9929,2,    193.1,2,     -999,9,     -999,9,     -999,9,     -999,9,    0.165,4,    0.090,4,   0.0000,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.8568,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.056,1,    0.034,1,    0.071,1,  19.4500,4,     -999,9,20180314,0036, -59.6166, 159.1549,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,5          ,5          ,2,20180314,0025, -59.6166, 159.1548,     4796,   1349.3,1.7752833333333333243,34.742144572394288,3,     -999,5,195.96051490114036,2, 182.2903,2,    196.8,2,     -999,9,     -999,9,     -999,9,     -999,9,    0.163,4,    0.144,4,   0.0600,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.7751,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.057,1,    4.688,1,    0.070,1,  19.4600,4,     -999,9,20180314,0031, -59.6166, 159.1549,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,4          ,4          ,2,20180314,0025, -59.6166, 159.1548,     4796,   1512.1,1.6120722222222221287,34.741111627827408,3,     -999,9,200.31541973914972,2, 184.4875,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.6117,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    0.855,1,    0.070,1,     -999,9,     -999,9,20180314,0025, -59.6166, 159.1548,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,2          ,2          ,2,20180314,0025, -59.6166, 159.1548,     4796,   1512.2,1.6106388888888889532,34.741016279644811,3,     -999,9,200.33585362970169,2, 184.4939,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,    0.152,4,    0.083,4,   0.0400,4,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.6093,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    0.855,1,    0.070,1,  19.0800,4,     -999,9,20180314,0025, -59.6166, 159.1548,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,1          ,1          ,2,20180314,0025, -59.6166, 159.1548,     4796,   1512.8,1.6097194444444444805,34.741104634603630,3,     -999,9,200.43630174064381,2, 184.4943,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.6093,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    0.855,1,    0.070,1,     -999,9,     -999,9,20180314,0025, -59.6166, 159.1548,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,901     ,  1,3          ,3          ,2,20180314,0025, -59.6166, 159.1548,     4796,   1513.1,1.6106861111111112628,34.741122723506805,3,     -999,9,200.34194155483695,2, 184.4913,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.6106,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.056,1,    0.855,1,    0.070,1,     -999,9,     -999,9,20180314,0025, -59.6166, 159.1548,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,1       ,  1,29         ,29         ,2,20180317,0211, -70.4517, 168.4755,     1389,      1.5,-1.5807361111111113416,34.091449501357495,3,     -999,9,338.98156862880450,2, 327.4912,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.117,1,    4.585,1,    0.184,1,     -999,9,     -999,9,20180317,0317, -70.4507, 168.4729,     -999,9,     -999,9,-999          ,9,     -999,9,    -8.37,2,     0.13, 0.512209,2, 0.000006,    17.69,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,1       ,  1,28         ,28         ,2,20180317,0211, -70.4517, 168.4755,     1389,      1.8,-1.5847277777777779573,34.091778278518511,2,  34.0923,2,338.96117704437233,2, 327.4891,2,    341.6,2,     71.8,2,    28.21,2,     0.14,2,     1.88,2,    5.777,2,    3.144,2,   3.8800,2,   2202.5,6,  2311.47,2,   7.6790,2,    24.95,     41.5,2,     -999,9,  -1.5812,2,0.75000000,2, -133.340,2,    0.002,     -999,9,    32.10,2,     -999,1,     -999,9,    0.117,1,    4.585,1,    0.184,1,  16.6700,2,     -999,9,20180317,0317, -70.4507, 168.4729,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,1       ,  1,27         ,27         ,2,20180317,0211, -70.4517, 168.4755,     1389,     19.4,-1.5272777777777779562,34.128784944942112,2,  34.1250,2,337.92894352548512,2, 325.8938,2,    338.9,2,     72.1,2,    28.35,2,     0.13,2,     1.91,2,     -999,9,     -999,9,     -999,9,   2201.8,2,  2356.40,4,   7.6327,2,    24.93,     44.9,2,     -999,1,  -1.5321,2,     -999,9,     -999,9,     -999,     -999,9,    29.90,2,     -999,1,     -999,1,    0.134,1,    4.591,1,    0.186,1,     -999,9,     -999,1,20180317,0315, -70.4506, 168.4731,     -999,1,     -999,1,-999          ,9,     -999,1,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
